app_name,date,star,avaliacoes_totais
GRUPO PARADIGMA SC,2025-03-28,"5,0",5
Parteli Gestão Predial,2025-03-28,"4,8",40
Sensato Condomínios,2025-03-28,"4,5",30
Parceria Condomínios,2025-03-28,"4,5",40
Novara Adm,2025-03-28,"5,0",9
Intuitive Condomínios,2025-03-28,"4,8",569
Orsegups - Meu Condomínio,2025-03-28,"4,6",2500
Excel Condomínio Digital,2025-03-28,"4,8",16
Duocon Condomínios,2025-03-28,"4,8",21
ADC Condomínios,2025-03-28,"4,8",66
Grupo LRS,2025-03-28,"4,8",162
Tecad Condomínios,2025-03-28,"4,3",210
Zello Administradora,2025-03-28,"5,0",24
Zimmermann Condomínios,2025-03-28,"5,0",20
Dimas,2025-03-28,"4,8",23
Uptime Condomínios,2025-03-28,"4,7",250
Berger Condomínios,2025-03-28,"4,7",46
Seval Condomínios,2025-03-28,"4,6",114
Ático Contabilidade,2025-03-28,"5,0",1
Taquari Condomínios,2025-03-28,"4,4",164
Coelho & Martins,2025-03-28,"4,8",12
Suporte Condominios,2025-03-28,"4,6",58
ADFAP Condomínios,2025-03-28,"4,9",8
Robotton line,2025-03-28,"4,6",3100
Khronos Condomínios,2025-03-28,"4,7",1400
Neval Condomínios,2025-03-28,"4,8",23
JAB Condomínios,2025-03-28,"4,7",25
Grupo CMS,2025-03-28,"4,5",256
Grupo Moraes Condomínios,2025-03-28,"4,7",174
Winker,2025-03-28,"4,8",17100
Grupo SK,2025-03-28,"4,5",366
Convivium Condomínios,2025-03-28,"4,8",173
Attento Condomínios,2025-03-28,"4,8",904
FICAM Condomínios,2025-03-28,"4,7",166
Loan Condomínios,2025-03-28,"5,0",25
Verti Administradora,2025-03-28,"4,6",546
Exacto Condomínios,2025-03-28,"4,7",543
Zafira Condomínios,2025-03-28,"4,7",266
IATE MARINE,2025-03-28,"4,9",46
Conviver Administradora,2025-03-28,"4,9",61
LLOYD,2025-03-28,"4,5",575
Agecon Condomínios,2025-03-28,"4,6",51
Conecta Sistemas Inteligentes,2025-03-28,"4,0",8
CGC EXCELENT,2025-03-28,"4,3",23
Gesta Administradora,2025-03-28,"4,6",53
Pró-Radar Portaria Virtual,2025-03-28,"4,4",43
V.J GALLO Condomínios,2025-03-28,"4,4",51
Max Confiável Portaria Remota,2025-03-28,"5,0",2
QUALLYGESTÃO PREDIAL,2025-03-28,"4,7",380
Assecon Contabilidade,2025-03-28,"4,9",10
SOUZA & REIS,2025-03-28,"4,8",145
Adinfor Administradora,2025-03-28,"4,9",8
Verde Administradora,2025-03-28,"4,4",43
Zangari Condomínios,2025-03-28,"4,6",277
Adbens Condomínios,2025-03-28,"4,6",260
GRUPO REDETEL,2025-03-28,"5,0",14
Fesan Condomínios,2025-03-28,"4,6",58
Estância Parque Atibaia,2025-03-28,"4,7",81
Seven Condominios,2025-03-28,"4,6",218
Portal do Flat Accor,2025-03-28,"4,5",2
Linus Condominios,2025-03-28,"4,7",72
Villa Bella Administradora,2025-03-28,"5,0",3
Cysne Condomínios,2025-03-28,"5,0",8
AG Alphaville,2025-03-28,"5,0",5
OMA Online,2025-03-28,"4,6",3800
Nossa Casa Administradora,2025-03-28,"4,9",15
Total Garantidora,2025-03-28,"4,5",55
Bersi,2025-03-28,"4,8",844
OAB - Distrito Federal,2025-03-28,"2,3",3
Easy Access PRO,2025-03-28,"4,5",2
Predial Ruggiero,2025-03-28,"5,0",6
Sispac Condominios,2025-03-28,"4,6",11
Graber Portaria Digital Plus,2025-03-28,"3,4",13
Zenite Tech,2025-03-28,,
R3S Acesso,2025-03-28,"5,0",6
Athus Administradora,2025-03-28,"4,9",210
Prop Starter Online,2025-03-28,"4,8",169
Capbens Condominios,2025-03-28,"4,0",4
Rudder Segurança,2025-03-28,"4,8",32
GIC IMÓVEIS,2025-03-28,"5,0",6
Della Tecnologia,2025-03-28,,
Smarthome-Even,2025-03-28,"4,5",77
Grupo STS,2025-03-28,,
Intuitive Tecnologia,2025-03-28,"4,9",26
DGT Administradora,2025-03-28,"4,7",238
PORTAL IM GRUPO,2025-03-28,"5,0",3
Alliz Administradora,2025-03-28,"4,8",79
Mercúrio-APP,2025-03-28,"4,7",269
Tecmóbili Condomínios,2025-03-28,"4,8",162
NN Negócios,2025-03-28,,
JHI ADMINISTRADORA,2025-03-28,"3,8",12
ADK Administradora,2025-03-28,,
Administradora Angélica,2025-03-28,"4,0",12
Solid Falcon,2025-03-28,"5,0",2
RJJ SecureAccess,2025-03-28,"4,7",12
Iepê Golf Condomínio,2025-03-28,,
Grupo Evolua,2025-03-28,"4,9",95
Ícone Gestão Condominial,2025-03-28,"4,8",181
Gescon Winker,2025-03-28,"5,0",11
Estanconfor Administradora,2025-03-28,,
Mario Dal Maso Administradora,2025-03-28,"4,7",48
Easy Safe Condomínios,2025-03-28,"4,3",6
Suprema Administradora,2025-03-28,"5,0",15
Gosuen Gestão Condominial,2025-03-28,"4,8",120
Armis Imóveis,2025-03-28,,
Clevertown,2025-03-28,"4,5",2
Avenue Condomínios,2025-03-28,"4,9",28
Natal Condomínio,2025-03-28,"4,0",2
Lagoa Iate Clube,2025-03-28,"5,0",2
Condmaster Administradora,2025-03-28,,
Unionsec,2025-03-28,"4,7",3
Kato Condomínios,2025-03-28,"4,4",20
Beelive,2025-03-28,"4,8",103
Adaplan Condomínios,2025-03-28,"3,9",8
Tracon Condomínios,2025-03-28,"4,5",24
Focus X Condomínios,2025-03-28,,
Dínamo,2025-03-28,"5,0",9
Anauate Condomínios,2025-03-28,"4,2",16
Grupo LC Assessoria,2025-03-28,"5,0",4
Rescon,2025-03-28,"4,5",17
Ville Sainte Anne,2025-03-28,"5,0",1
Conlli Administradora,2025-03-28,,
Raghi Condomínios,2025-03-28,"4,8",12
Efetiva Administradora,2025-03-28,"4,7",47
Top Center,2025-03-28,,
Deltta Condomínios,2025-03-28,,
Versari On,2025-03-28,"4,9",55
Lowndes Condomínios e Imóveis,2025-03-28,"4,3",11
Umuarama Condomínios,2025-03-28,,
M10 Condomínios,2025-03-28,,
